name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,813,4625133377,,,,,,,113.3656163,23.0682754,,,
,814,,,,,,,,113.3563,23.0446176,,,boundary node created by osm2gmns
,815,4637525511,,,,,,,113.3938422,23.0702581,,,
,816,9571938515,,,,,,,113.3921659,23.0736425,,,
,817,2538631685,,,,,,,113.3939605,23.0698896,,,
,818,728704330,,,,,,,113.3936768,23.0702109,,,
,819,4637524886,,,,,,,113.3937905,23.069859,,,
,820,7865168559,,,,,,,113.3830556,23.0723006,,,
,821,7865168560,,,,,,,113.3831401,23.0721908,,,
,822,8015203177,,,,,,,113.3866684,23.0666313,,,
,823,8015203178,,,,,,,113.3867443,23.0657347,,,
,824,5230350704,,,,,,,113.3865329,23.0650873,,,
,825,2540493399,,,,,,,113.3950013,23.0459907,,,
,826,9526153009,,,,,,,113.3920464,23.0490094,,,
,827,8297013621,,,,,,,113.3813859,23.0590765,,,
,828,,,,,,,,113.4086162,23.0338,,,boundary node created by osm2gmns
,829,627276254,,,,,,,113.4109105,23.0406837,,,
,830,5171444253,,,,,,,113.4104591,23.0409917,,,
,831,,,,,,,,113.4117,23.0340222,,,boundary node created by osm2gmns
,832,5315933035,,,,,,,113.4103356,23.0364734,,,
,833,8704545493,,,,,,,113.3816199,23.0601512,,,
,834,8595806185,,,,,,,113.3822238,23.0606779,,,
,835,8296993510,,,,,,,113.3798635,23.0588403,,,
,836,8296812220,,,,,,,113.3903285,23.0589681,,,
,837,4592745061,,,,,,,113.3811527,23.0556704,,,
,838,9574640279,,,,,,,113.3672193,23.0494221,,,
,839,2538717906,,,,,,,113.3961503,23.0468738,,,
仑头收费站,840,623887569,,,,,,,113.3615816,23.0748399,,,
,841,8625656115,,,,,,,113.3609147,23.0749088,,,
,842,8625669318,,,,,,,113.371635,23.046899,,,
,843,8625669319,,,,,,,113.3711879,23.0469682,,,
,844,8625669334,,,,,,,113.3708685,23.046682,,,
,845,8625669336,,,,,,,113.3709743,23.0463413,,,
,846,,,,,,,,113.4003877,23.0761,,,boundary node created by osm2gmns
,847,6362672394,,,,,,,113.3992706,23.072535,,,
,848,4450465046,,,,,,,113.3987434,23.0656334,,,
,849,8871825139,,,,,,,113.3999242,23.0713651,,,
,850,8871825133,,,,,,,113.399232,23.0711612,,,
,851,3114333324,,,,,,,113.3825802,23.0383687,,,
,852,4411099994,,,,,,,113.3606129,23.0581008,,,
,853,9037429312,,,,,,,113.3675338,23.0716328,,,
,854,9037429347,,,,,,,113.3798455,23.0749532,,,
,855,9037429366,,,,,,,113.3799702,23.0751455,,,
,856,9037429369,,,,,,,113.3798502,23.0751048,,,
,857,9037429362,,,,,,,113.3800756,23.0749925,,,
,858,9037429424,,,,,,,113.3695227,23.0639808,,,
,859,9037429425,,,,,,,113.3695079,23.0641111,,,
,860,9037429468,,,,,,,113.3618956,23.058121,,,
,861,9168664585,,,,,,,113.3695254,23.0652987,,,
,862,9195214478,,,,,,,113.4003784,23.0410423,,,
,863,9195214473,,,,,,,113.4005384,23.040927,,,
,864,4411603883,,,,,,,113.3648648,23.0512937,,,
,865,9307639352,,,,,,,113.3650545,23.0512517,,,
,866,11904545279,,,,,,,113.4062995,23.0344101,,,
,867,11904545290,,,,,,,113.4075266,23.0359639,,,
,868,11904545274,,,,,,,113.4077022,23.0361882,,,
,869,9526153005,,,,,,,113.3934184,23.0467574,,,
,870,9571993972,,,,,,,113.3948569,23.0756358,,,
,871,,,,,,,,113.394826,23.0761,,,boundary node created by osm2gmns
,872,9571993963,,,,,,,113.3931173,23.0760004,,,
,873,9572084423,,,,,,,113.3817457,23.0357981,,,
,874,9572102396,,,,,,,113.3824119,23.0351252,,,
,875,9572102398,,,,,,,113.3826831,23.0347384,,,
穗石渡口,876,9827715288,,,,,,,113.4089443,23.0477958,,,
,877,,,,,,,,113.4117,23.0424886,,,boundary node created by osm2gmns
,878,,,,,,,,113.4117,23.0413671,,,boundary node created by osm2gmns
,879,,,,,,,,113.3815936,23.0761,,,boundary node created by osm2gmns
,880,10000922050,,,,,,,113.3799387,23.0760722,,,
,881,10000922104,,,,,,,113.3711654,23.0716323,,,
,882,11904534457,,,,,,,113.4059572,23.0342805,,,
,883,,,,,,,,113.4055853,23.0338,,,boundary node created by osm2gmns
,884,11904534456,,,,,,,113.4075297,23.0363303,,,
,885,11904545295,,,,,,,113.4073472,23.0360946,,,
,886,11904534458,,,,,,,113.4061729,23.0345471,,,
,887,,,,,,,,113.4058497,23.0338,,,boundary node created by osm2gmns
,888,11904545280,,,,,,,113.4061191,23.0341569,,,
